classId,className,firstEvent,lastEvent,numStudents,numEvents
826,MTHEL 99 - Fall 2021,2021-07-29 19:21:26.394000 UTC,2022-04-08 10:45:19.753000 UTC,4151,4086437
1075,MTHEL 99 - Fall 2022,2022-07-14 14:59:35.360000 UTC,2022-08-31 23:59:57.274000 UTC,3866,2307634
517,MATH 135 Online - Fall 2020,2020-08-31 16:17:08.506000 UTC,2021-05-19 06:35:03.083000 UTC,2752,5765272
552,MTHEL 199 - Fall 2020 - August (41),2020-07-24 12:57:44.401000 UTC,2020-11-20 13:02:18.701000 UTC,2561,2277054
493,MATH 137 Fall 2020,2020-08-27 02:09:12.869000 UTC,2021-05-23 01:41:20.929000 UTC,2458,1451770
630,MATH 136 Winter 2021,2021-01-09 05:02:53.447000 UTC,2021-09-17 17:50:59.349000 UTC,2231,3296350
124,CHEM 120 - Fall 2018,2018-09-11 20:59:11.118000 UTC,2018-12-21 21:32:41.818000 UTC,1870,1471257
301,Introduction to R and R Studio,2019-09-07 07:31:33.143000 UTC,2022-08-02 12:36:25.636000 UTC,1853,51145
142,CHEM 120L Master,2018-09-13 21:24:30.784000 UTC,2022-07-27 08:01:35.243000 UTC,1709,129332
725,CHEM 123L/125L - Winter 2021,2021-01-11 05:22:56.605000 UTC,2022-05-01 22:05:07.170000 UTC,1708,1797241
284,CHEM 120 - Fall 2019,2019-09-09 13:10:40.469000 UTC,2020-03-24 16:46:23.307000 UTC,1665,1360740
876,CHEM 120 - Fall 2021,2021-09-08 13:14:39.323000 UTC,2022-01-05 02:34:39.902000 UTC,1590,2490166
29,MATH 127 Past Assignment Practice,2018-09-25 21:33:19.202000 UTC,2022-08-27 17:40:15.724000 UTC,1526,290607
143,CHEM 120L - Fall 2018,2018-09-14 19:09:14.909000 UTC,2018-12-07 18:12:24.824000 UTC,1522,226920
302,CHEM 120L - Fall 2019,2019-09-11 20:54:14.543000 UTC,2020-01-09 04:05:42.301000 UTC,1417,1006157
177,CHEM 123 - Winter 2019,2019-01-07 13:42:06.819000 UTC,2019-04-28 03:11:43.088000 UTC,1396,1379659
330,CHEM 123 - Winter 2020,2020-01-06 15:31:49.326000 UTC,2020-05-04 03:40:46.926000 UTC,1367,1110461
480,CHEM 120 - Fall 2020,2020-09-08 04:44:52.518000 UTC,2021-01-18 21:18:45.946000 UTC,1360,1782542
892,CHEM 120L - Fall 2021,2021-09-08 04:12:53.233000 UTC,2022-01-05 04:32:55.285000 UTC,1358,1727628
593,CHEM 120L-121L - Fall 2020,2020-09-01 18:39:37.847000 UTC,2021-01-09 18:52:03.311000 UTC,1343,1683430
422,MATH 117 Fall 2020,2020-09-08 04:06:31.815000 UTC,2022-03-30 18:44:56.429000 UTC,1341,411483
883,MATH 135 - Fall 2021,2021-08-30 22:11:48.670000 UTC,2022-01-05 02:04:31.653000 UTC,1292,1379267
605,MATH 115 Fall 2020,2020-09-08 22:15:05.930000 UTC,2021-01-04 20:31:43.975000 UTC,1245,935272
252,Math Readiness Assessment 2019 [MATH],2019-06-12 14:50:52.782000 UTC,2022-08-02 18:52:26.955000 UTC,1237,191846
896,MATH 115 Fall 2021,2021-09-13 11:58:12.709000 UTC,2022-01-05 03:13:45.966000 UTC,1230,1094419
259,Math Readiness Assessment 2019 [Engineering],2019-07-08 19:56:29.408000 UTC,2021-09-08 18:39:09.790000 UTC,1213,258344
195,CHEM 123L Master,2022-01-03 14:33:58.013000 UTC,2022-07-20 04:14:13.703000 UTC,1201,68831
856,STAT 230 Online - Fall 2021,2021-09-07 19:47:14.321000 UTC,2022-01-05 04:23:15.884000 UTC,1189,2740301
548,CHE 102 - Fall 2020,2020-08-17 19:01:17.076000 UTC,2021-01-05 04:59:06.358000 UTC,1183,2224424
991,CHEM 123 - Winter 2022,2022-01-05 05:22:35.379000 UTC,2022-05-10 13:47:17.365000 UTC,1153,1549448
138,CHE 102 - Fall 2018 - Assignments only,2018-09-06 04:41:07.804000 UTC,2019-04-02 03:53:29.999000 UTC,1136,614777
907,MATH 137 Fall 2021 On campus,2021-09-08 04:34:43.715000 UTC,2022-02-10 01:47:33.641000 UTC,1123,428005
196,CHEM 123L - Winter 2019,2019-01-15 14:57:33.321000 UTC,2019-04-13 20:54:36.228000 UTC,1106,138088
276,CHE 102 - Fall 2019,2019-08-07 19:54:13.794000 UTC,2020-04-26 00:12:14.993000 UTC,1103,563906
698,CHEM 123 - Winter 2021,2021-01-11 05:23:32.934000 UTC,2021-08-16 21:12:38.870000 UTC,1075,1527057
342,CHEM 123L - Winter 2020,2020-01-14 18:51:03.736000 UTC,2021-05-01 05:10:29.506000 UTC,1059,925092
891,CHE 102 - Fall 2021,2021-08-11 18:19:21.483000 UTC,2022-08-05 05:24:39.165000 UTC,1058,2290112
587,MASTER MATH 116,2020-09-04 12:47:51.858000 UTC,2021-01-05 04:28:15.044000 UTC,1041,590726
87,Math Readiness Assessment 2018 [Engineering],2018-08-15 01:33:40.932000 UTC,2022-04-20 20:43:37.794000 UTC,1031,190358
1000,CHEM 123L Winter 2022,2022-01-01 05:03:12.374000 UTC,2022-07-30 17:38:26.925000 UTC,1003,830719
121,MATH 127 - Fall 2018,2018-09-06 04:06:21.389000 UTC,2020-08-03 12:41:47.001000 UTC,995,1796642
773,STAT 230 Online - Spring 2021,2021-05-10 04:11:41.707000 UTC,2021-09-08 02:39:00.742000 UTC,970,1123969
870,ECON 102 Online - Fall 2021,2021-07-30 14:51:39.045000 UTC,2022-03-16 23:00:15.703000 UTC,966,1389767
289,MATH 127 - Fall 2019,2019-09-04 04:08:08.112000 UTC,2020-04-19 03:52:57.242000 UTC,955,2068025
916,MATH 116 - Fall 2021,2021-09-08 04:23:33.956000 UTC,2021-12-17 00:16:58.560000 UTC,909,546431
515,MATH 127 Online - Fall 2020,2020-09-01 14:04:43.150000 UTC,2021-01-05 05:01:50.751000 UTC,880,1675313
296,PHYS 111 - Fall 2019,2019-09-04 04:01:15.562000 UTC,2020-01-06 04:47:09.066000 UTC,821,961630
506,AFM 131 Online - Fall 2020,2020-09-08 04:20:35.531000 UTC,2020-10-05 20:52:56.241000 UTC,821,72040
506,AFM 131/ARBUS 101 Online - Fall 2020,2020-10-05 18:31:35.289000 UTC,2020-12-31 16:38:01.313000 UTC,790,348930
835,AFM 131 Online - Fall 2021,2021-09-08 04:15:02.720000 UTC,2021-09-20 16:09:51.125000 UTC,790,67031
402,STAT 231 Online - Spring 2020,2020-05-11 04:01:26.406000 UTC,2020-09-08 05:45:44.513000 UTC,787,1099035
835,AFM 131/ARBUS 101 Online - Fall 2021,2021-09-20 14:50:49.278000 UTC,2022-01-04 22:55:26.405000 UTC,783,387471
996,STAT 231 - Winter 2022,2022-01-05 05:18:06.726000 UTC,2022-05-05 21:37:12.687000 UTC,777,1033010
494,STAT 220/STAT 230 Online - Fall 2020,2020-09-08 04:12:21.821000 UTC,2021-01-05 04:06:01.707000 UTC,770,989513
525,PHYS 111 - Fall 2020,2020-09-08 04:10:24.838000 UTC,2022-04-06 21:30:19.384000 UTC,766,394735
237,MASTER PHYS 111 - Sanderson,2019-05-14 15:30:26.849000 UTC,2020-01-04 14:34:35.401000 UTC,765,588907
827,PHYS 111 - Fall 2021,2021-09-08 08:28:53.374000 UTC,2022-01-05 04:41:19.888000 UTC,761,490572
401,STAT 230 Online - Spring 2020,2020-05-08 20:24:39.750000 UTC,2020-09-08 02:30:33.008000 UTC,733,1328441
652,MATH 128 Online - Winter 2021,2020-12-14 15:42:44.861000 UTC,2021-05-09 16:42:47.387000 UTC,730,1568084
303,ME 269 - Fall 2019,2019-09-18 17:38:29.684000 UTC,2022-04-10 15:31:40.203000 UTC,729,142491
528,STAT 221/STAT 231 Online - Fall 2020,2020-09-08 04:11:23.680000 UTC,2021-01-04 02:59:45.236000 UTC,715,849349
884,MATH 127 - Fall 2021,2021-09-08 04:26:15.543000 UTC,2022-04-13 00:52:39.951000 UTC,710,1060446
642,AFM 102 Online - Winter 2021,2020-12-31 01:34:32.739000 UTC,2021-05-10 16:29:10.520000 UTC,705,1352649
764,MATH 237 Online - Spring 2021,2021-04-24 17:50:08.268000 UTC,2021-10-17 14:26:13.508000 UTC,682,1128319
756,ECON 102 Online - Spring 2021 - 081/082/083,2021-04-28 16:37:38.920000 UTC,2022-07-01 02:53:11.154000 UTC,674,941439
1054,STAT 231 - Spring 2022,2022-05-02 04:19:53.723000 UTC,2022-08-24 14:40:21.089000 UTC,668,34190
681,ECON 102 Online - Winter 2021 - 082/083/084/085,2021-01-11 05:13:06.043000 UTC,2021-05-25 22:08:56.648000 UTC,659,924286
